"sku","couleur"
"BGDCOL048","Noir"
"BGDCOL049","Noir"
"BGDCOL054","Encre"
"BGDCOL055","Encre"
"BGDCOL056","Encre"
"BGDCOL061","Corail"
"BGDCOL062","Corail"
"BGDCOL063","Corail"
"BGDCOL068","Rouge"
"BGDCOL069","Rouge"
"BGDCOL070","Rouge"
"BCO004059","Inox"
"BCO004060","Inox"
"LLRLIB6107","Transparent"
"ARG-CUI-TA",
"ARG-FOU-TA",
"MA-48P-XYGD","Métal argenté"
"ARG-COUM-TA",
"ARG-COUO-TA",
"ARG-COU-DA",
"ARG-COUO-DA",
"ARG-CUI-DA",
"ARG-FOU-DA",
"ARG-CUI-CA",
"ARG-CUI-MA",
"ARG-LOUA",
"ARG-CUI-SERA",
"ARG-FOU-SERA",
"ARG-CUI-SALA",
"ARG-FOU-SALA",
"ARG-COU-PA",
"ARG-FOU-PO",
"ARG-FOU-PAA",
"ARG-PELTA",
"ARG-CUI-GA",
"ARG-COU-BA",
"ARG-CUI-SOA",
"ARG-CUI-SAA",
"ARG-COUS-TA",
"RARG-CUI-TA",
"RARG-FOU-TA",
"RARG-COUM-TA",
"RARG-COUO-TA",
"RARG-CUI-DA",
"RARG-FOU-DA",
"RARG-COU-DA",
"RARG-COUO-DA",
"RARG-CUI-CA",
"RARG-CUI-MA",
"RARG-LOUA",
"RARG-CUI-SERA",
"RARG-FOU-SERA",
"RARG-CUI-SALA",
"RARG-FOU-SALA",
"RARG-COU-PA",
"RARG-FOU-PO",
"RARG-FOU-PAT",
"RARG-PELTA",
"RARG-CUI-GA",
"RARG-COU-BA",
"RARG-CUI-SOA",
"RARG-CUI-SAA",
"RARG-COUS-TA",
"BCOATO0034","Inox"
,"Inox"
"BAMTRI18PCS","Inox"
"BAMTRI24PCS","Inox"
"BAMTRI48PCS","Inox"
"BAMECL0005","Inox"
"BAMECL0006","Inox"
"BAMERA18PCS","Inox"
"BAMERA24PCS","Inox"
"BAMERA48PCS","Inox"
"BAMERA42PCS","Inox"
"BAMERA72PCS","Inox"
"BAMERA84PCS","Inox"
"LET18PET","Inox"
"LET24PET","Inox"
"LET48PET","Inox"
"LET54PET","Inox"
"LET42PET","Inox"
"LET72PET","Inox"
"LET84PET","Inox"
"LET108PET","Inox"
"LET18X15","Inox"
"LET24X15","Inox"
"LET48X15","Inox"
"LET18ISA","Inox"
"LET24ISA","Inox"
"LET48ISA","Inox"
"LET18AP","Inox"
"LET24AP","Inox"
"LET48AP","Inox"
"LLB18FE","Inox"
"LLB24FE","Inox"
"LLB48FE","Inox"
"GDIV18PCS","Inox"
"GDIV24PCS","Inox"
"GDIV42PCS","Inox"
"GDIV48PCS","Inox"
"GDIV54PCS","Inox"
"GDIV72PCS","Inox"
"GDIV84PCS","Inox"
"GDIV96PCS","Inox"
"GDIV120PCS","Inox"
"GDIN18PCS","Inox"
"GDIN24PCS","Inox"
"GDIN42PCS","Inox"
"GDIN48PCS","Inox"
"GDIN54PCS","Inox"
"GDIN72PCS","Inox"
"GDIN84PCS","Inox"
"GDIN96PCS","Inox"
"GDIN120PCS","Inox"
"LBLB18PCS","Inox"
"LBLB24PCS","Inox"
"LBLB42PCS","Inox"
"LBLB48PCS","Inox"
"LBLB54PCS","Inox"
"LBLB72PCS","Inox"
"LBLB84PCS","Inox"
"LBLB108PCS","Inox"
"BGDSER014","Inox"
"BGDSER015","Inox"
"BGDSER016","Inox"
"BGDSER017","Inox"
"CZ-PERC18PCS","Inox"
"BET0170003","Inox"
"BET0170004","Inox"
"GDSI18PCS","Inox"
"GDSI24PCS","Inox"
"GDSI48PCS","Inox"
"GDSI72PCS","Inox"
"GDSI84PCS","Inox"
"GDSI96PCS","Inox"
"GDSI120PCS","Inox"
"GDSI42PCS","Inox"
"GDSI52PCS","Inox"
"GDIS18PCS","Inox"
"GDIS24PCS","Inox"
"GDIS48PCS","Inox"
"GDLU18PCS","Inox"
"GDLU24PCS","Inox"
"GDLU48PCS","Inox"
"BGDNEW019","Inox"
"GDLU72PCS","Inox"
"GDLU84PCS","Inox"
"GDLU96PCS","Inox"
"GDLU120PCS","Inox"
"GDLU42PCS","Inox"
"GDLU54PCS","Inox"
"BCO004061","Inox"
"BCO004062","Inox"
"BCO0020032","Inox"
"BCO0010018","Inox"
"BCO0010019","Inox"
"BCO0010020","Inox"
"BCO004063","Inox"
"BCO004064","Inox"
"BOAL011387","Inox"
"GDIS72PCS","Inox"
"GDIS84PCS","Inox"
"GDIS96PCS","Inox"
"GDIS120PCS","Inox"
"GDIS42PCS","Inox"
"GDIS54PCS","Inox"
"BGDCAS018","Inox"
"BGDCAS019","Inox"
"BGDCAS020","Inox"
"GDAB120PCS","Inox"
"GDAB96PCS","Inox"
"GDAB84PCS","Inox"
"GDAB72PCS","Inox"
"GDAB48PCS","Inox"
"GDAB24PCS","Inox"
"GDAB18PCS","Inox"
